#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
1.58705e-10;1.63138e-10,0.198937;0.100268,0;0,3.27092e-09;3.88414e-09,1.26487;0.0740422,3;3
1.50042e-10;1.60145e-10,0.0350455;1.47276,1;1,,,
1.86624e-10;2.40388e-10,0.0376954;0.0810304,2;2,1.49131e-09,1.17694,1
2.52282e-10,0.0358015,2,,,
1.94668e-10,0.026103,3,1.93532e-09,0.609422,0
1.98191e-10,0.100799,3,,,
1.61626e-10,2.3427,0,,,
,,,1.17985e-08;1.29698e-08;1.32467e-08;5.46513e-08;5.57207e-08;6.13555e-08;6.94973e-08;7.8802e-08,0.000802111;0.118425;0.0228077;0.00933561;0.0118165;0.000911878;0.000449607;0.000910683,1;1;1;3;3;3;3;3
1.46332e-10,0.08871,1,3.15053e-09,0.686517,1
1.50415e-10;1.84677e-10,0.131018;0.169851,1;1,,,
,,,8.57294e-09;9.79594e-09,0.203034;0.116756,1;1
1.60904e-10;2.95055e-10,0.254766;0.0122095,0;0,,,
1.82534e-10;1.8745e-10;2.0084e-10,0.852071;0.233615;0.00551507,1;1;1,3.36386e-09;5.49621e-09;9.55064e-09;1.04669e-08;8.7498e-09;9.7064e-09;1.34439e-08;1.67359e-08,0.789653;0.0894949;0.0420242;0.0161212;0.109152;0.0262611;0.0173444;0.0107397,1;1;1;1;2;2;2;2
1.52246e-10;2.52472e-10;3.40421e-10;2.05172e-10;1.83086e-10,0.212478;0.00587355;0.0166524;0.0728517;0.0358017,1;1;1;2;3,,,
,,,2.65543e-09,1.59397,1
,,,3.59e-09;5.28276e-09;7.67063e-09;9.54417e-09;3.53147e-08;3.66239e-08;3.59796e-09,0.86749;0.025907;0.00734873;0.000827418;0.00185157;8.95532e-05;0.812033,0;0;0;0;0;0;1
1.92391e-10;2.2895e-10,0.142004;0.013487,2;2,6.88144e-09,0.165072,1
1.4921e-10,0.0563381,1,,,
,,,1.98848e-09,2.86298,1
1.78571e-10,0.20871,1,3.83652e-09;4.68735e-09,1.13785;0.0957517,1;1
1.84809e-10,0.225929,2,2.27873e-09,0.854495,3
